task,parents,category,start,end,effort,ishabit,tags
Paper for ALife 2020,Main research,,2020-01-29 10:35,2020-01-29 10:35,,,
Paper for ALife 2020,Main research,,2020-01-29 09:57,2020-01-29 10:35,,,
Paper for ALife 2020,Main research,,2020-01-28 17:52,2020-01-28 17:52,,,
Paper for ALife 2020,Main research,,2020-01-28 16:45,2020-01-28 17:52,,,
Show that scale enables new patterns,Main research/Paper for ALife 2020,,2020-02-04 16:31,2020-02-04 17:31,,,
Show that scale enables new patterns,Main research/Paper for ALife 2020,,2020-02-04 14:37,2020-02-04 16:01,,,
Show that scale enables new patterns,Main research/Paper for ALife 2020,,2020-02-04 08:56,2020-02-04 12:40,,,
Show that scale enables new patterns,Main research/Paper for ALife 2020,,2020-02-03 17:03,2020-02-03 17:53,,,
Show that scale enables new patterns,Main research/Paper for ALife 2020,,2020-02-03 16:34,2020-02-03 16:35,,,
Show that scale enables new patterns,Main research/Paper for ALife 2020,,2020-02-03 13:45,2020-02-03 14:54,,,
Show that scale enables new patterns,Main research/Paper for ALife 2020,,2020-02-03 08:45,2020-02-03 12:30,,,
Show that scale enables new patterns,Main research/Paper for ALife 2020,,2020-01-31 08:59,2020-01-31 12:46,,,
Show that scale enables new patterns,Main research/Paper for ALife 2020,,2020-01-30 14:06,2020-01-30 18:41,,,
Show that scale enables new patterns,Main research/Paper for ALife 2020,,2020-01-30 09:39,2020-01-30 12:23,,,
Automata as CNN,Misc [56%],,2020-01-15 11:57,2020-01-15 13:47,,,
Automata as CNN,Misc [56%],,2020-01-08 08:46,2020-01-08 10:20,,,
Automata as CNN,Misc [56%],,2019-11-25 14:00,2019-11-25 15:48,,,
Automata as CNN,Misc [56%],,2019-11-25 10:45,2019-11-25 12:57,,,
Automata as CNN,Misc [56%],,2019-11-22 18:04,2019-11-22 18:17,,,
Automata as CNN,Misc [56%],,2019-11-22 15:59,2019-11-22 17:26,,,
Automata as CNN,Misc [56%],,2019-11-22 11:17,2019-11-22 12:35,,,
Automata as CNN,Misc [56%],,2019-11-21 17:22,2019-11-21 17:54,,,
Idea of a MNIST classifier CA,Misc [56%]/Automata as CNN,,2019-12-12 17:42,2019-12-12 17:49,,,
Create stable patterns with RCNNS,Misc [56%]/Automata as CNN,,2020-01-09 09:00,2020-01-09 11:24,,,
Create stable patterns with RCNNS,Misc [56%]/Automata as CNN,,2020-01-08 10:20,2020-01-08 12:44,,,
Space of replicating programs,Misc [56%],,2019-11-25 16:29,2019-11-25 16:34,,,
Space of replicating programs,Misc [56%],,2019-11-25 15:48,2019-11-25 16:22,,,
Investigate reversible/2nd order CAs,Misc [56%],,2019-12-12 17:35,2019-12-12 17:40,,,
Dimensions of Dialogue,Misc [56%],,2020-01-22 14:07,2020-01-22 15:40,,,
Reproduce dimensions of dialogue,Misc [56%]/Dimensions of Dialogue,,2019-11-26 16:04,2019-11-26 16:28,,,
Reproduce dimensions of dialogue,Misc [56%]/Dimensions of Dialogue,,2019-11-26 15:12,2019-11-26 15:56,,,
Reproduce dimensions of dialogue,Misc [56%]/Dimensions of Dialogue,,2019-11-26 11:17,2019-11-26 14:34,,,
Reproduce dimensions of dialogue,Misc [56%]/Dimensions of Dialogue,,2019-11-26 11:00,2019-11-26 11:12,,,
Make Sketch RNN work in Pytorch,Misc [56%]/Dimensions of Dialogue/Adapt to Sketch-RNN,,2019-11-26 10:44,2019-11-26 11:00,,,
Make better org+Zotero+Remarkable workflow,Misc [56%],,2020-02-03 14:54,2020-02-03 15:04,,,
Make better org+Zotero+Remarkable workflow,Misc [56%],,2020-01-28 08:18,2020-01-28 08:51,,,
Make better org+Zotero+Remarkable workflow,Misc [56%],,2019-12-12 08:23,2019-12-12 11:23,,,
Unsupervised Text Summarization,Misc [56%],,2020-01-28 12:40,2020-01-28 13:21,,,
Unsupervised Text Summarization,Misc [56%],,2020-01-28 10:13,2020-01-28 10:29,,,
Unsupervised Text Summarization,Misc [56%],,2020-01-27 11:21,2020-01-27 11:48,,,
Read Tomas' proposal,Misc [56%],,2020-01-28 08:51,2020-01-28 10:13,,,
Read Tomas' proposal,Misc [56%],,2020-01-28 08:12,2020-01-28 08:18,,,
CIIRC annual Colloquium,Misc [56%],,2020-01-23 12:30,2020-01-23 14:50,,,
CIIRC annual Colloquium,Misc [56%],,2020-01-23 08:30,2020-01-23 11:30,,,
Prepare CIIRC annual colloquium presentation,Misc [56%]/CIIRC annual Colloquium,,2020-01-22 15:40,2020-01-22 16:42,,,
Prepare CIIRC annual colloquium presentation,Misc [56%]/CIIRC annual Colloquium,,2020-01-22 11:17,2020-01-22 12:45,,,
Prepare CIIRC annual colloquium presentation,Misc [56%]/CIIRC annual Colloquium,,2020-01-22 09:06,2020-01-22 11:16,,,
Prepare CIIRC annual colloquium presentation,Misc [56%]/CIIRC annual Colloquium,,2020-01-21 16:14,2020-01-21 17:25,,,
Prepare CIIRC annual colloquium presentation,Misc [56%]/CIIRC annual Colloquium,,2020-01-15 16:44,2020-01-15 17:39,,,
